Threshold,Precision,Recall
0.0013108115762287319,0.037486218302094816,1.0
0.001324351562005367,0.03750689464975179,1.0
0.0013272955915535865,0.037527593818984545,1.0
0.0013319915952842226,0.03754831584759801,1.0
0.0013336300677308335,0.03756906077348066,1.0
0.00133427323893332,0.037589828634604756,1.0
0.0013570464037088298,0.03761061946902655,1.0
0.001364243191266942,0.03763143331488655,1.0
0.0013924872927955267,0.03765227021040975,1.0
0.0013939407440709916,0.037673130193905814,1.0
0.0014012491043746823,0.037694013303769404,1.0
0.001406011442559988,0.03771491957848031,1.0
0.0014107322229374253,0.03773584905660377,1.0
0.0014648823906052342,0.03775680177679067,1.0
0.0014841124096940314,0.03777777777777778,1.0
0.001503832175874567,0.03779877709838799,1.0
0.0015199745800548545,0.03781979977753059,1.0
0.0015201078018201386,0.037840845854201444,1.0
0.0015447830725871497,0.0378619153674833,1.0
0.0015528429835110014,0.03788300835654596,1.0
0.0015976749105488799,0.0379041248606466,1.0
0.0016170587826096492,0.03792526491912995,1.0
0.0016266492076480535,0.03794642857142857,1.0
0.001631036682435977,0.03796761585706309,1.0
0.0016410305305365079,0.03798882681564246,1.0
0.0016413030303536165,0.03801006148686417,1.0
0.0016428576462737183,0.03803131991051454,1.0
0.0017169036143234498,0.038052602126468944,1.0
0.0017286670529794211,0.03807390817469205,1.0
0.0017309669729368969,0.0380952380952381,1.0
0.0017972827184287896,0.03811659192825112,1.0
0.0018071226846075763,0.03813796971396523,1.0
0.001820434394028567,0.038159371492704826,1.0
0.0018408362735878713,0.0381807973048849,1.0
0.0019093695361993427,0.038202247191011236,1.0
0.001969206658385983,0.03822372119168072,1.0
0.0019949280133493247,0.03824521934758155,1.0
0.002003633077881051,0.038266741699493526,1.0
0.0020093492542121697,0.038288288288288286,1.0
0.0020108113904991533,0.03830985915492958,1.0
0.002024848706149757,0.038331454340473504,1.0
0.0020350262847416184,0.03835307388606881,1.0
0.0020625569276585694,0.03837471783295711,1.0
0.00207768531394373,0.038396386222473176,1.0
0.0020973800602666287,0.0384180790960452,1.0
0.002105165687010313,0.03843979649519502,1.0
0.0021164217678022804,0.038461538461538464,1.0
0.0021216031744291423,0.038483305036785515,1.0
0.0021218536697842657,0.03850509626274066,1.0
0.0021365274593958504,0.038526912181303115,1.0
0.0021401549519535316,0.03854875283446712,1.0
0.002189113900379735,0.038570618264322176,1.0
0.0022117678583961635,0.03859250851305335,1.0
0.002233426066805401,0.03861442362294151,1.0
0.002233655186107156,0.038636363636363635,1.0
0.002265415083938641,0.038658328595793066,1.0
0.0022966686524343197,0.038680318543799774,1.0
0.002316373771841482,0.03870233352305066,1.0
0.0023313106222360496,0.0387243735763098,1.0
