precision,recall,threshold
0.040865384615384616,1.0,8.602549682583252e-06
0.040889957907396274,1.0,8.632501322010188e-06
0.04091456077015644,1.0,8.635118752176969e-06
0.040939193257074055,1.0,8.678646219369493e-06
0.04096385542168675,1.0,8.696725736864094e-06
0.040988547317661245,1.0,8.697655906597852e-06
0.04101326899879373,1.0,8.70179173316253e-06
0.04103802051901026,1.0,8.70622717685629e-06
0.04106280193236715,1.0,8.717855540595721e-06
0.04108761329305136,1.0,8.725493610732133e-06
0.041112454655380895,1.0,8.749699292213154e-06
0.0411373260738052,1.0,8.750382421083545e-06
0.04116222760290557,1.0,8.76891044846384e-06
0.04118715929739552,1.0,8.78487191620092e-06
0.041212121212121214,1.0,8.785103225423712e-06
0.041237113402061855,1.0,8.851555341502167e-06
0.0412621359223301,1.0,8.880334901864546e-06
0.041287188828172436,1.0,8.895522416726248e-06
0.041312272174969626,1.0,8.898704161984422e-06
0.04133738601823708,1.0,8.92948574112416e-06
0.0413625304136253,1.0,8.970954041608618e-06
0.041387705416920266,1.0,8.986359650695569e-06
0.04141291108404385,1.0,8.996328873771754e-06
0.04143814747105423,1.0,9.015990539590874e-06
0.041463414634146344,1.0,9.031249587969885e-06
0.04148871262965223,1.0,9.038669143269957e-06
0.04151404151404151,1.0,9.057104844930396e-06
0.04153940134392181,1.0,9.058568342393563e-06
0.04156479217603912,1.0,9.066621389286874e-06
0.04159021406727829,1.0,9.066776643968511e-06
0.0416156670746634,1.0,9.081735010531373e-06
0.041641151255358236,1.0,9.08990735020444e-06
0.041666666666666664,1.0,9.117373656870818e-06
0.041692213366033105,1.0,9.124412216920411e-06
0.04171779141104295,1.0,9.126356288393508e-06
0.041743400859422956,1.0,9.13985450153015e-06
0.04176904176904177,1.0,9.149042088100219e-06
0.04179471419791026,1.0,9.153649076607827e-06
0.041820418204182044,1.0,9.158646273152457e-06
0.041846153846153845,1.0,9.176453241256199e-06
0.04187192118226601,1.0,9.212606391937959e-06
0.041897720271102896,1.0,9.218447233755786e-06
0.04192355117139334,1.0,9.251345753553194e-06
0.041949413942011106,1.0,9.25841865659616e-06
0.04197530864197531,1.0,9.27504540690316e-06
0.042001235330450894,1.0,9.2752846408788e-06
0.042027194066749075,1.0,9.287084613627827e-06
0.042053184910327765,1.0,9.3022725127279e-06
0.04207920792079208,1.0,9.304071508088856e-06
0.042105263157894736,1.0,9.304943086584401e-06
0.042131350681536554,1.0,9.311820695179914e-06
0.04215747055176689,1.0,9.356587718335714e-06
0.04218362282878412,1.0,9.404449668990491e-06
0.04220980757293606,1.0,9.414066318038702e-06
0.0422360248447205,1.0,9.432083375911024e-06
0.04226227470478558,1.0,9.456456503142043e-06
0.04228855721393035,1.0,9.460266181887764e-06
0.042314872433105166,1.0,9.470859000590889e-06
0.04234122042341221,1.0,9.475706014874217e-06
0.04236760124610592,1.0,9.523918671973952e-06
0.04239401496259352,1.0,9.547767778243596e-06
0.042420461634435434,1.0,9.550360431854603e-06
0.04244694132334582,1.0,9.578250680760018e-06
0.042473454091193005,1.0,9.632519925443561e-06
0.0425,1.0,9.635414100204198e-06
0.04252657911194497,1.0,9.683739800694313e-06
0.0425531914893617,1.0,9.736820674486206e-06
0.042579837194740136,1.0,9.922212630477698e-06
0.042606516290726815,1.0,9.93098044358781e-06
0.042633228840125395,1.0,9.947402957840853e-06
0.04265997490589712,1.0,9.95954016241562e-06
0.04268675455116133,1.0,9.978515915833853e-06
0.04271356783919598,1.0,1.0046970403978849e-05
0.04274041483343809,1.0,1.0072599376959138e-05
0.042767295597484274,1.0,1.0084421013469393e-05
0.042794210195091255,1.0,1.0104497617187208e-05
0.042821158690176324,1.0,1.0145799242700002e-05
0.0428481411468179,1.0,1.0179714920986257e-05
0.04287515762925599,1.0,1.0192363037502953e-05
0.04290220820189274,1.0,1.02088076674174e-05
0.04292929292929293,1.0,1.0251595013909243e-05
0.04295641187618446,1.0,1.0282848044358613e-05
0.04298356510745891,1.0,1.0376076392220136e-05
0.043010752688172046,1.0,1.0405554688573234e-05
0.043037974683544304,1.0,1.0424306646324287e-05
0.04306523115896137,1.0,1.0473880654509174e-05
0.043092522179974654,1.0,1.0483376535723902e-05
0.04311984781230184,1.0,1.0493622466788958e-05
0.04314720812182741,1.0,1.0513538060543988e-05
0.04317460317460318,1.0,1.053681769274952e-05
0.043202033036848796,1.0,1.0587128592373183e-05
0.04322949777495232,1.0,1.0602611528398623e-05
0.043256997455470736,1.0,1.0641552855649021e-05
0.04328453214513049,1.0,1.0653270219746916e-05
0.04331210191082802,1.0,1.0657385271398187e-05
0.043339706819630335,1.0,1.0659113385342388e-05
0.04336734693877551,1.0,1.0665104435130415e-05
0.04339502233567326,1.0,1.0668140335986425e-05
0.04342273307790549,1.0,1.0712415209338339e-05
0.043450479233226834,1.0,1.0725568371873329e-05
0.043478260869565216,1.0,1.0729394679247536e-05
0.04350607805502239,1.0,1.0733675656243347e-05
0.04353393085787452,1.0,1.0751980667688666e-05
0.04356181934657271,1.0,1.0766948477687303e-05
0.04358974358974359,1.0,1.0783337910593734e-05
0.04361770365618987,1.0,1.0853567471403429e-05
0.043645699614890884,1.0,1.0861594933334534e-05
0.04367373153500321,1.0,1.0870068355247966e-05
0.043701799485861184,1.0,1.0890019747609248e-05
0.04372990353697749,1.0,1.0893279801244867e-05
0.043758043758043756,1.0,1.0926417378978484e-05
0.0437862202189311,1.0,1.0929727469944416e-05
0.04381443298969072,1.0,1.0935133817270923e-05
0.04384268214055448,1.0,1.0987681919949524e-05
